C,BAND,SPEC,AGE,HA,SEX,BP,MONTH,DAY,YEAR,TIME,NET
R,243079939,HOWA,6,PS,M,0,7,1,2005,113,1
R,243079939,HOWA,6,R,M,0,7,15,2005,65,2
N,243079940,HOWA,6,PS,M,0,6,4,2005,74,6
N,243079943,HOWA,6,PS,M,0,6,4,2005,94,9
N,243079946,HOWA,6,PS,M,0,6,4,2005,114,5
N,243079949,HOWA,6,PS,M,0,6,4,2005,114,5
R,243079949,HOWA,6,PS,M,0,6,17,2005,93,2
R,243079949,HOWA,6,PS,M,0,7,23,2005,115,5
N,243079951,HOWA,2,P,U,0,6,17,2005,63,7
N,243079952,HOWA,5,LS,F,4,6,17,2005,63,7
N,243079953,HOWA,6,PS,F,2,6,17,2005,73,7
N,243079954,HOWA,6,PS,M,0,6,17,2005,83,5
R,243079954,HOWA,6,R,M,0,7,1,2005,73,10
N,243079956,HOWA,1,PS,F,4,6,17,2005,83,5
N,243079957,HOWA,6,PS,M,0,6,17,2005,93,6
N,243079960,HOWA,5,LS,F,4,6,17,2005,93,8
N,243079966,HOWA,5,PS,F,3,6,25,2005,64,7
R,243079966,HOWA,5,PL,F,4,7,1,2005,83,10
N,243079967,HOWA,6,PS,F,3,6,25,2005,64,10
N,243079969,HOWA,5,PS,M,0,6,25,2005,74,5
N,243079971,HOWA,6,PS,M,0,6,25,2005,84,4
N,243079972,HOWA,2,JS,F,0,6,25,2005,84,2
R,243079972,HOWA,2,PS,F,0,7,1,2005,73,1
N,243079974,HOWA,5,LS,M,0,6,25,2005,94,9
R,243079974,HOWA,5,LS,M,0,7,1,2005,103,9
N,243079975,HOWA,2,P,M,0,6,25,2005,104,6
R,243079975,HOWA,2,LS,M,0,7,15,2005,75,7
N,243079977,HOWA,1,PS,M,0,6,25,2005,114,1
N,243079978,HOWA,6,PS,F,4,6,25,2005,114,9
N,243079983,HOWA,2,JE,F,0,6,25,2005,114,2
N,243079986,HOWA,2,P,M,0,7,1,2005,63,6
N,243079987,HOWA,1,PS,M,0,7,1,2005,63,8
N,243079988,HOWA,2,P,M,0,7,1,2005,73,1
N,243079990,HOWA,5,PL,F,4,7,1,2005,93,9
N,243079992,HOWA,5,PL,M,0,7,1,2005,93,1
N,243079995,HOWA,5,PL,M,0,7,1,2005,113,5
N,243079996,HOWA,5,PL,M,0,7,1,2005,113,7
N,243079998,HOWA,1,PS,M,0,7,15,2005,65,1
N,243079999,HOWA,1,PS,M,0,7,15,2005,75,7
N,243080000,HOWA,1,PS,F,4,7,15,2005,75,4
N,243080001,HOWA,2,SL,F,0,7,15,2005,85,1
N,243080002,HOWA,1,PS,M,0,7,15,2005,95,9
N,243080003,HOWA,2,LS,U,0,7,15,2005,95,3
N,243080005,HOWA,2,SL,M,0,7,15,2005,95,8
N,243080006,HOWA,1,PS,F,4,7,15,2005,95,2
N,243080011,HOWA,1,PS,M,0,7,15,2005,105,3
N,243080014,HOWA,5,LS,M,0,7,23,2005,65,1
N,243080015,HOWA,6,PS,F,5,7,23,2005,65,7
N,243080017,HOWA,6,PS,M,0,7,23,2005,75,7
N,243080018,HOWA,2,PL,F,0,7,23,2005,75,9
N,243080019,HOWA,6,PS,F,0,7,23,2005,75,3
N,243080021,HOWA,1,PS,M,0,7,23,2005,85,5
R,243080021,HOWA,1,PS,M,0,8,6,2005,80,2
N,243080022,HOWA,6,PS,F,2,7,23,2005,85,3
N,243080023,HOWA,1,PS,M,0,7,23,2005,95,2
N,243080026,HOWA,2,LS,F,0,7,23,2005,105,2
N,243080029,HOWA,5,PL,F,0,7,23,2005,115,5
N,243080031,HOWA,1,PS,M,0,8,6,2005,80,8
N,243080032,HOWA,1,PS,F,0,8,6,2005,80,10
N,243080033,HOWA,1,PS,M,0,8,6,2005,90,2
N,243080034,HOWA,1,PS,F,0,8,6,2005,90,2
N,243080035,HOWA,2,PS,F,0,8,6,2005,100,6
N,243080036,HOWA,2,PS,F,0,8,6,2005,110,5
N,243080037,HOWA,2,LS,M,0,8,6,2005,110,1
N,243080039,HOWA,2,LS,F,0,8,6,2005,120,3
N,192139482,HOWA,6,PS,F,4,6,2,2006,62,1
R,192139482,HOWA,6,R,F,4,7,1,2006,92,2
N,237051273,HOWA,6,PS,M,0,6,2,2006,62,10
N,237051275,HOWA,6,PS,M,0,6,2,2006,72,10
N,237051276,HOWA,6,PS,M,0,6,2,2006,72,10
N,237051277,HOWA,6,PS,M,0,6,2,2006,72,1
N,237051278,HOWA,6,PS,M,0,6,2,2006,82,5
R,237051278,HOWA,6,R,M,0,8,5,2006,75,5
N,237051290,HOWA,2,PS,M,0,6,16,2006,63,3
R,237051290,HOWA,2,P,M,0,6,24,2006,102,4
N,237051291,HOWA,5,PL,F,4,6,16,2006,73,9
N,237051292,HOWA,5,PL,F,4,6,16,2006,73,3
N,237051293,HOWA,6,PS,F,0,6,16,2006,73,7
N,237051294,HOWA,5,PS,M,0,6,16,2006,73,1
R,237051294,HOWA,5,LP,M,0,7,1,2006,72,1
N,237051295,HOWA,5,L,M,0,6,16,2006,73,5
N,237051296,HOWA,5,L,M,0,6,16,2006,83,5
N,237051297,HOWA,5,L,M,0,6,16,2006,83,10
N,237051298,HOWA,6,PS,M,0,6,16,2006,83,6
N,237051300,HOWA,2,PS,U,0,6,16,2006,93,1
N,237051301,HOWA,5,LS,M,0,6,16,2006,93,6
N,237051302,HOWA,5,LS,M,0,6,16,2006,93,9
N,237051304,HOWA,5,L,F,2,6,16,2006,103,6
N,237051305,HOWA,2,PS,U,0,6,16,2006,103,6
N,237051306,HOWA,5,PS,M,0,6,16,2006,103,10
N,237051308,HOWA,5,Y,F,2,6,16,2006,103,4
N,237051310,HOWA,5,LS,M,0,6,16,2006,113,4
N,237051311,HOWA,6,PS,M,0,6,16,2006,113,4
N,237051312,HOWA,2,PS,F,0,6,24,2006,62,10
N,237051313,HOWA,6,PS,F,4,6,24,2006,62,4
N,237051315,HOWA,5,LS,F,5,6,24,2006,72,4
N,237051316,HOWA,5,PS,F,1,6,24,2006,72,8
N,237051317,HOWA,5,PS,F,4,6,24,2006,72,3
N,237051324,HOWA,5,PS,M,0,6,24,2006,92,5
N,237051331,HOWA,5,P,F,0,6,24,2006,102,10
N,237051332,HOWA,5,PS,F,4,6,24,2006,102,9
N,237051338,HOWA,2,P,M,0,6,24,2006,112,10
N,237051343,HOWA,6,PS,F,4,7,1,2006,72,2
N,237051349,HOWA,6,PS,M,0,7,1,2006,102,1
N,237051355,HOWA,5,PS,M,0,7,1,2006,112,6
N,237051356,HOWA,1,PS,M,0,7,1,2006,112,6
N,237051359,HOWA,2,PS,M,0,7,15,2006,63,7
N,237051361,HOWA,2,PS,M,0,7,15,2006,83,6
N,237051364,HOWA,2,P,F,0,7,15,2006,83,6
N,237051365,HOWA,2,PS,M,0,7,15,2006,83,4
N,237051367,HOWA,5,PS,M,0,7,15,2006,93,4
N,237051374,HOWA,6,PS,F,4,7,15,2006,103,2
N,237051376,HOWA,2,PS,F,0,7,22,2006,64,6
N,237051377,HOWA,2,PS,F,0,7,22,2006,74,1
N,237051378,HOWA,2,PS,F,0,7,22,2006,74,8
N,237051386,HOWA,2,PS,F,0,7,22,2006,104,2
R,237051386,HOWA,2,PS,F,0,8,5,2006,95,2
N,237051387,HOWA,2,PS,M,0,7,22,2006,104,4
N,237051389,HOWA,2,P,F,0,8,5,2006,65,7
N,237051390,HOWA,2,P,F,0,8,5,2006,65,3
N,237051391,HOWA,2,S,M,0,8,5,2006,65,1
N,237051392,HOWA,2,PS,F,0,8,5,2006,75,8
N,237051395,HOWA,2,S,F,0,8,5,2006,75,8
N,237051396,HOWA,2,PS,F,0,8,5,2006,85,8
R,237051396,HOWA,2,R,F,,8,5,2006,105,6
N,237051397,HOWA,2,SP,M,0,8,5,2006,85,8
R,243079902,HOWA,6,PS,M,0,5,19,2006,63,6
R,243079902,HOWA,6,PS,M,0,5,19,2006,93,9
R,243079907,HOWA,6,PS,M,0,5,19,2006,63,4
R,243079907,HOWA,6,PS,M,0,5,19,2006,113,8
R,243079925,HOWA,6,PS,F,4,5,27,2006,73,10
R,243079926,HOWA,6,PS,M,0,5,19,2006,113,8
R,243079926,HOWA,6,PS,M,0,5,27,2006,83,8
R,243079926,HOWA,6,PS,M,0,7,1,2006,112,8
R,243079943,HOWA,6,PS,M,0,5,27,2006,73,8
R,243079952,HOWA,6,PS,F,4,6,2,2006,62,7
R,243079952,HOWA,6,PS,F,3,7,1,2006,92,10
R,243079978,HOWA,6,PS,F,2,5,27,2006,63,7
R,243079992,HOWA,6,R,M,0,7,1,2006,112,1
R,243080017,HOWA,6,PS,M,0,5,27,2006,113,5
R,243080017,HOWA,6,R,M,5,7,1,2006,112,?
R,243080021,HOWA,6,PS,M,0,5,19,2006,83,9
R,243080021,HOWA,6,R,M,0,6,24,2006,102,8
R,243080023,HOWA,6,PS,M,0,5,27,2006,63,5
N,243080042,HOWA,1,Y,F,2,5,19,2006,63,5
N,243080044,HOWA,5,PS,F,1,5,19,2006,63,3
N,243080045,HOWA,6,PS,M,0,5,19,2006,63,3
R,243080045,HOWA,6,R,M,,5,19,2006,113,3
R,243080045,HOWA,6,PS,M,0,5,27,2006,113,4
R,243080045,HOWA,6,PS,M,0,6,2,2006,62,3
R,243080045,HOWA,6,PS,M,0,6,16,2006,63,3
R,243080045,HOWA,6,PS,M,0,7,1,2006,72,3
R,243080045,HOWA,6,R,M,0,7,15,2006,113,3
N,243080046,HOWA,6,PS,F,3,5,19,2006,63,4
R,243080046,HOWA,6,PS,F,4,6,16,2006,113,2
N,243080047,HOWA,6,PS,M,0,5,19,2006,73,2
R,243080047,HOWA,6,PS,M,0,5,27,2006,93,1
R,243080047,HOWA,6,R,M,0,6,16,2006,73,1
R,243080047,HOWA,6,R,M,0,8,5,2006,105,2
N,243080048,HOWA,6,PS,F,3,5,19,2006,73,7
N,243080049,HOWA,1,R,F,2,5,19,2006,73,9
R,243080049,HOWA,1,R,F,4,7,15,2006,83,7
N,243080055,HOWA,6,PS,F,1,5,19,2006,83,8
N,243080056,HOWA,6,PB,F,4,5,19,2006,83,1
R,243080056,HOWA,6,PS,F,2,6,2,2006,62,1
N,243080058,HOWA,6,PS,M,0,5,19,2006,83,8
N,243080062,HOWA,6,PS,F,4,5,19,2006,93,6
R,243080062,HOWA,6,R,F,2,5,27,2006,83,9
R,243080062,HOWA,6,PS,F,2,6,2,2006,72,10
R,243080062,HOWA,6,PS,F,3,6,16,2006,63,10
N,243080069,HOWA,6,PS,F,1,5,19,2006,103,6
N,243080071,HOWA,6,PS,M,0,5,19,2006,103,8
R,243080071,HOWA,6,PS,M,0,6,2,2006,102,8
N,243080072,HOWA,6,PS,M,0,5,19,2006,103,3
R,243080072,HOWA,6,PS,M,0,6,24,2006,62,4
R,243080072,HOWA,6,PS,M,0,6,24,2006,112,4
N,243080082,HOWA,1,R,F,4,5,27,2006,73,4
R,243080082,HOWA,1,R,F,4,6,16,2006,63,3
R,243080082,HOWA,1,R,F,3,6,24,2006,72,3
N,243080087,HOWA,1,PS,F,2,5,27,2006,73,2
N,243080093,HOWA,1,PS,F,3,5,27,2006,93,1
N,243080094,HOWA,6,PS,M,0,5,27,2006,93,4
N,243080095,HOWA,6,PC,M,0,5,27,2006,93,1
N,243080096,HOWA,5,PS,M,0,5,27,2006,93,1
N,246083206,HOWA,2,PS,M,0,8,5,2006,105,5
N,246083207,HOWA,2,PS,M,0,8,5,2006,105,5
R,192139482,HOWA,6,R,F,4,7,5,2007,113,3
R,237051292,HOWA,6,PS,F,4,5,12,2007,64,4
R,237051292,HOWA,6,R,F,4,7,5,2007,83,4
R,237051294,HOWA,6,PC,M,0,5,12,2007,84,6
R,237051294,HOWA,6,PS,M,0,6,1,2007,93,1
R,237051294,HOWA,6,PS,M,0,6,28,2007,93,1
R,237051295,HOWA,6,PS,M,0,5,12,2007,94,5
R,237051297,HOWA,6,PS,M,0,5,24,2007,104,9
R,237051301,HOWA,6,PC,M,0,5,12,2007,64,6
R,237051304,HOWA,6,PS,F,3,5,24,2007,74,9
R,237051304,HOWA,6,PS,F,4,5,24,2007,114,3
R,237051310,HOWA,6,R,M,0,6,28,2007,63,3
R,237051361,HOWA,5,R,M,0,5,12,2007,114,4
R,237051367,HOWA,6,PS,M,0,7,14,2007,113,4
R,243003482,HOWA,2,PS,F,0,8,4,2007,104,9
R,243079307,HOWA,6,PS,M,0,6,1,2007,83,4
R,243079902,HOWA,6,PS,M,0,5,24,2007,64,7
R,243079902,HOWA,6,PS,M,0,6,10,2007,103,8
R,243079907,HOWA,6,PS,M,0,6,10,2007,113,4
R,243079926,HOWA,6,PS,M,0,5,24,2007,64,8
R,243079926,HOWA,6,PS,M,0,6,1,2007,63,8
R,243079926,HOWA,6,PS,M,0,6,10,2007,103,8
R,243079939,HOWA,6,PS,M,0,6,1,2007,83,2
R,243079939,HOWA,6,PS,M,0,6,28,2007,93,3
R,243079943,HOWA,6,R,M,0,7,21,2007,103,8
R,243079954,HOWA,6,PS,M,0,6,1,2007,113,10
R,243079983,HOWA,6,R,F,0,7,21,2007,103,10
R,243080017,HOWA,6,PS,M,0,5,12,2007,64,5
R,243080017,HOWA,6,PS,M,0,5,24,2007,114,6
R,243080021,HOWA,6,PS,M,0,5,12,2007,84,9
R,243080045,HOWA,6,PS,M,0,6,28,2007,73,4
R,243080045,HOWA,6,PS,M,0,7,14,2007,113,4
R,243080047,HOWA,6,PS,M,0,6,1,2007,63,2
R,243080047,HOWA,6,PS,M,0,6,28,2007,63,2
R,243080048,HOWA,6,PS,F,2,5,12,2007,94,2
R,243080048,HOWA,6,PS,F,2,5,24,2007,74,3
R,243080048,HOWA,6,PS,F,4,6,1,2007,73,3
R,243080048,HOWA,6,PS,F,4,7,21,2007,103,2
R,243080049,HOWA,6,PS,F,3,6,1,2007,113,9
R,243080049,HOWA,6,PS,F,2,6,28,2007,83,9
R,243080056,HOWA,6,PS,F,2,5,24,2007,74,5
R,243080056,HOWA,6,PS,F,4,6,10,2007,63,5
R,243080056,HOWA,6,R,F,4,7,14,2007,83,1
R,243080056,HOWA,6,PS,F,4,7,14,2007,113,1
N,246083209,HOWA,6,PS,M,0,5,12,2007,64,5
R,246083209,HOWA,6,PS,M,0,6,10,2007,103,5
N,246083214,HOWA,6,PS,F,3,5,12,2007,74,2
R,246083214,HOWA,6,PS,F,4,6,10,2007,83,1
N,246083218,HOWA,6,PS,M,0,5,12,2007,84,3
N,246083219,HOWA,6,PS,F,3,5,12,2007,84,5
N,246083231,HOWA,6,PS,M,0,5,24,2007,84,2
N,246083234,HOWA,1,R,M,0,5,24,2007,104,3
R,246083234,HOWA,1,R,M,0,6,1,2007,103,3
N,246083236,HOWA,6,PS,M,0,5,24,2007,114,3
N,246083239,HOWA,2,PS,M,0,6,1,2007,93,4
N,246083240,HOWA,5,PC,M,0,6,1,2007,103,4
N,246083243,HOWA,5,PS,F,4,6,10,2007,73,1
N,246083244,HOWA,6,PS,F,2,6,10,2007,83,6
N,246083249,HOWA,6,PS,M,0,6,1,2007,64,8
N,246083250,HOWA,6,PS,F,4,6,1,2007,113,3
N,246083251,HOWA,6,PS,F,4,6,28,2007,63,7
N,246083252,HOWA,2,PS,M,0,6,28,2007,63,10
N,246083254,HOWA,2,PS,M,0,6,28,2007,63,3
N,246083255,HOWA,2,P,F,0,6,28,2007,73,1
N,246083258,HOWA,6,PS,F,4,6,28,2007,83,9
N,246083262,HOWA,2,P,U,0,7,5,2007,63,9
R,246083262,HOWA,2,PS,U,0,7,14,2007,93,9
N,246083263,HOWA,1,PS,F,2,7,5,2007,73,4
N,246083264,HOWA,2,P,M,0,7,5,2007,83,4
N,246083265,HOWA,1,PS,M,0,7,5,2007,93,10
N,246083266,HOWA,2,PS,U,0,7,5,2007,93,5
N,246083267,HOWA,2,P,U,0,7,5,2007,93,4
N,246083271,HOWA,2,PS,U,0,7,14,2007,73,7
N,246083272,HOWA,2,PS,U,0,7,14,2007,73,8
N,246083273,HOWA,2,PS,U,0,7,14,2007,73,8
N,246083277,HOWA,2,PS,M,0,7,14,2007,83,4
N,246083283,HOWA,2,PS,U,0,7,14,2007,103,6
N,246083288,HOWA,1,PS,M,0,7,14,2007,113,8
N,246083296,HOWA,2,PS,M,0,7,21,2007,63,7
N,246083298,HOWA,2,PS,M,0,7,21,2007,73,7
N,246083301,HOWA,1,PS,F,0,7,21,2007,83,1
N,246083305,HOWA,2,PS,M,0,7,21,2007,103,6
N,246083311,HOWA,1,PS,M,0,7,21,2007,113,3
N,246083312,HOWA,2,PS,M,0,8,4,2007,64,3
N,246083313,HOWA,2,SP,F,0,8,4,2007,74,3
N,246083314,HOWA,2,SP,M,0,8,4,2007,84,4
N,246083315,HOWA,2,PS,M,0,8,4,2007,84,1
N,246083319,HOWA,2,PS,F,0,8,4,2007,84,4
N,246083323,HOWA,2,PS,F,0,8,4,2007,94,8
N,246083325,HOWA,2,PS,M,0,8,4,2007,104,4
R,237051297,HOWA,6,PS,M,0,6,22,2008,83,10
R,243079926,HOWA,6,PS,M,0,5,22,2008,73,7
R,243079926,HOWA,6,R,M,0,7,5,2008,83,8
R,243079926,HOWA,6,R,M,0,7,12,2008,73,7
R,243079943,HOWA,6,PS,M,0,5,17,2008,64,8
R,243079943,HOWA,6,PS,M,0,5,22,2008,63,7
R,243079943,HOWA,6,PS,M,0,6,7,2008,93,8
R,243079954,HOWA,6,PS,M,0,3,29,2008,103,9
R,243080004,HOWA,6,PS,M,0,6,18,2008,63,4
R,243080017,HOWA,6,PS,M,0,5,17,2008,64,6
R,243080017,HOWA,6,PS,M,0,7,5,2008,103,6
R,243080021,HOWA,6,PS,M,0,6,18,2008,73,8
R,243080049,HOWA,6,PS,F,3,5,17,2008,114,7
R,243080049,HOWA,6,R,F,4,7,5,2008,73,9
R,246083209,HOWA,6,PS,M,0,5,22,2008,63,5
R,246083209,HOWA,6,R,M,0,7,12,2008,93,5
R,246083298,HOWA,5,LP,M,0,5,22,2008,103,1
N,246083328,HOWA,6,PS,M,0,3,29,2008,103,7
N,246083329,HOWA,1,R,F,3,5,17,2008,64,4
R,246083329,HOWA,1,R,F,4,6,22,2008,83,4
N,246083330,HOWA,5,PS,M,0,5,17,2008,64,4
R,246083330,HOWA,5,PS,M,0,6,7,2008,63,2
R,246083330,HOWA,5,LS,M,0,6,7,2008,83,4
R,246083330,HOWA,5,R,M,0,7,26,2008,74,4
N,246083335,HOWA,1,R,F,2,5,17,2008,94,1
R,246083335,HOWA,1,R,F,4,6,7,2008,93,1
N,246083337,HOWA,5,PS,M,0,5,17,2008,104,3
N,246083338,HOWA,1,R,F,3,5,17,2008,104,1
R,246083338,HOWA,1,R,F,4,6,18,2008,73,6
R,246083338,HOWA,1,R,F,4,6,22,2008,73,5
N,246083339,HOWA,5,PS,F,2,5,17,2008,104,?
R,246083339,HOWA,5,PS,F,4,6,18,2008,83,1
N,246083341,HOWA,1,R,M,0,5,22,2008,63,5
R,246083341,HOWA,1,R,M,0,6,7,2008,113,1
N,246083345,HOWA,5,PS,F,1,5,22,2008,83,2
R,246083345,HOWA,5,LP,F,5,7,12,2008,103,2
N,246083346,HOWA,6,PS,M,0,5,22,2008,83,4
N,246083347,HOWA,5,PS,M,0,5,22,2008,83,1
R,246083347,HOWA,5,PS,M,0,6,18,2008,103,2
N,246083350,HOWA,5,PS,F,4,5,22,2008,103,6
R,246083350,HOWA,5,PS,F,4,7,5,2008,93,6
N,246083354,HOWA,5,PS,M,0,5,22,2008,113,1
R,246083354,HOWA,5,LS,M,0,7,12,2008,93,5
N,246083355,HOWA,1,R,F,3,5,22,2008,113,3
R,246083355,HOWA,1,R,F,4,6,22,2008,103,1
N,246083357,HOWA,6,PS,F,4,6,7,2008,103,3
N,246083366,HOWA,2,PS,F,0,6,18,2008,73,4
R,246083366,HOWA,2,PS,F,0,7,5,2008,93,5
N,246083369,HOWA,2,JS,U,0,6,18,2008,83,4
R,246083369,HOWA,2,MP,U,0,6,18,2008,103,2
N,246083374,HOWA,2,PS,M,0,6,18,2008,103,2
R,246083374,HOWA,2,PS,M,0,6,22,2008,83,1
N,246083376,HOWA,2,P,F,0,6,22,2008,83,4
N,246083378,HOWA,5,Y,F,4,6,22,2008,93,10
N,246083381,HOWA,2,PS,U,0,6,22,2008,93,3
N,246083382,HOWA,5,PS,M,0,6,22,2008,93,5
N,246083386,HOWA,2,PS,M,0,7,5,2008,63,3
N,246083387,HOWA,2,PS,M,0,7,5,2008,73,1
N,246083388,HOWA,2,PS,M,0,7,5,2008,73,8
N,246083389,HOWA,2,PS,M,0,7,5,2008,73,6
N,246083391,HOWA,2,PS,M,0,7,5,2008,83,1
N,246083393,HOWA,2,PS,F,0,7,5,2008,83,5
N,246083394,HOWA,2,PS,F,0,7,5,2008,93,8
N,246083396,HOWA,2,PS,F,0,7,5,2008,93,4
N,246083397,HOWA,5,PS,M,0,7,5,2008,93,4
N,246083400,HOWA,2,PS,M,0,7,5,2008,93,4
N,254081801,HOWA,2,PS,U,0,7,5,2008,103,9
N,254081802,HOWA,5,PS,F,4,7,5,2008,103,8
N,254081809,HOWA,5,PS,F,4,7,12,2008,63,5
N,254081810,HOWA,5,PS,F,4,7,12,2008,73,8
N,254081812,HOWA,2,PS,F,0,7,12,2008,93,5
N,254081815,HOWA,2,J,F,0,7,26,2008,64,9
N,254081816,HOWA,2,PS,M,0,7,26,2008,64,10
N,254081817,HOWA,2,PS,F,0,7,26,2008,74,7
N,254081818,HOWA,2,PS,M,0,7,26,2008,74,9
N,254081819,HOWA,2,PS,F,0,7,26,2008,74,10
N,254081820,HOWA,2,PS,M,0,7,26,2008,74,9
N,254081821,HOWA,4,JM,U,0,7,26,2008,84,8
N,254081822,HOWA,2,SP,F,0,7,26,2008,84,8
N,254081823,HOWA,2,SP,F,0,7,26,2008,84,8
N,254081824,HOWA,2,SP,F,0,7,26,2008,84,8
N,254081825,HOWA,2,PS,F,0,7,26,2008,84,1
N,254081826,HOWA,2,PS,F,0,7,26,2008,84,6
N,254081827,HOWA,2,PS,M,0,7,26,2008,84,9
N,254081828,HOWA,2,PS,M,0,7,26,2008,84,6
N,254081829,HOWA,2,PS,M,0,7,26,2008,84,5
R,254081829,HOWA,2,PS,M,0,8,2,2008,74,1
N,254081832,HOWA,2,PS,F,0,7,26,2008,104,9
N,254081833,HOWA,2,PS,F,0,7,26,2008,104,10
N,254081834,HOWA,2,PS,M,0,7,26,2008,104,1
N,254081835,HOWA,2,PS,M,0,7,26,2008,104,7
N,254081836,HOWA,2,PS,M,0,7,26,2008,104,7
N,254081837,HOWA,2,PS,M,0,7,26,2008,104,7
N,254081838,HOWA,2,PS,M,0,7,26,2008,104,10
N,254081839,HOWA,2,PS,M,0,7,26,2008,104,1
N,254081842,HOWA,2,PS,M,0,7,26,2008,114,5
N,254081843,HOWA,2,SP,F,0,7,26,2008,114,9
N,254081844,HOWA,2,SP,M,0,8,2,2008,64,8
R,254081844,HOWA,2,PS,M,0,8,2,2008,94,8
N,254081845,HOWA,2,PS,M,0,8,2,2008,74,1
N,254081846,HOWA,2,SP,F,0,8,2,2008,74,8
N,254081847,HOWA,2,PS,U,0,8,2,2008,74,7
N,254081848,HOWA,2,PS,F,0,8,2,2008,84,2
N,254081849,HOWA,1,G,F,4,8,2,2008,84,7
N,254081850,HOWA,2,PS,F,0,8,2,2008,84,9
N,254081851,HOWA,2,PS,M,0,8,2,2008,84,9
N,254081852,HOWA,2,PS,M,0,8,2,2008,84,1
N,254081853,HOWA,2,PS,M,0,8,2,2008,84,9
N,254081854,HOWA,2,PS,M,0,8,2,2008,94,5
N,254081855,HOWA,2,PS,M,0,8,2,2008,94,8
N,254081857,HOWA,2,PS,F,0,8,2,2008,94,10
N,254081858,HOWA,2,PS,F,0,8,2,2008,104,8
N,254081860,HOWA,2,PS,M,0,8,2,2008,104,4
N,254081862,HOWA,2,PS,F,0,8,2,2008,104,5
N,254081863,HOWA,2,PS,F,0,8,2,2008,104,2
R,237051387,HOWA,6,PS,M,0,6,28,2009,103,4
R,243079902,HOWA,6,PS,M,0,6,28,2009,93,9
R,243080093,HOWA,6,R,F,4,5,24,2009,83,2
R,243080093,HOWA,6,PS,F,3,5,31,2009,103,2
R,246083337,HOWA,6,PS,M,0,5,12,2009,94,3
R,246083337,HOWA,6,R,M,0,6,28,2009,113,4
R,246083338,HOWA,6,PS,F,3,5,12,2009,74,5
R,246083339,HOWA,6,R,F,4,5,24,2009,113,6
R,246083346,HOWA,6,PS,M,0,5,12,2009,64,2
R,246083346,HOWA,6,R,M,0,6,17,2009,73,2
R,246083354,HOWA,6,PS,M,0,5,31,2009,113,5
R,246083357,HOWA,6,PS,F,3,7,4,2009,113,4
R,254081816,HOWA,5,PS,M,0,5,24,2009,103,2
R,254081826,HOWA,5,PS,F,3,5,24,2009,73,4
R,254081826,HOWA,5,PS,F,4,5,24,2009,93,5
R,254081833,HOWA,5,PS,F,4,5,31,2009,73,5
R,254081844,HOWA,5,PS,M,0,5,12,2009,104,7
R,254081844,HOWA,5,PS,M,0,5,24,2009,83,8
R,254081844,HOWA,5,PS,M,0,5,31,2009,113,7
N,254081865,HOWA,5,PS,M,0,5,12,2009,64,8
R,254081865,HOWA,5,PS,M,0,5,12,2009,74,6
R,254081865,HOWA,5,PS,M,0,5,31,2009,73,7
R,254081865,HOWA,5,PS,M,0,6,17,2009,113,8
